	Event_Time	Cause	Growth_Factor	GFP	Group	Clone	Progeny	Generation	GFP_Age	IsGFPatBirth	StartTime	BirthTime
39	1.02391204e+00	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	2.40000000e+01	4.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32909162e+05
40	1.07263889e+00	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	2.10000000e+01	4.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32909402e+05
41	1.07653935e+00	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	2.60000000e+01	4.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32909115e+05
42	1.69965278e+00	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	2.80000000e+01	4.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32909151e+05
43	3.45533565e+00	0.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	2.90000000e+01	4.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32909151e+05
44	3.49179398e+00	0.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	2.70000000e+01	4.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32909115e+05
45	4.33726852e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	5.00000000e+00	1.00000000e+00	0.00000000e+00	       NaN	0.00000000e+00	7.32906983e+05	7.32906983e+05
46	4.01388889e-02	0.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	5.00000000e+00	3.00000000e+00	1.00000000e+00	       NaN	0.00000000e+00	7.32906983e+05	7.32907418e+05
47	3.97928241e-01	2.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	5.00000000e+00	2.00000000e+00	1.00000000e+00	       NaN	0.00000000e+00	7.32906983e+05	7.32907418e+05
48	3.01076389e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	6.00000000e+00	1.00000000e+00	0.00000000e+00	1.73969907e-01	0.00000000e+00	7.32906983e+05	7.32906983e+05
49	5.61840278e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	6.00000000e+00	2.00000000e+00	1.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32907286e+05
50	6.45370370e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	6.00000000e+00	3.00000000e+00	1.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32907286e+05
51	2.77173611e+00	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	6.00000000e+00	6.00000000e+00	2.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32907933e+05
52	2.82908565e+00	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	6.00000000e+00	4.00000000e+00	2.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32907849e+05
53	3.96918981e+00	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	6.00000000e+00	5.00000000e+00	2.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32907849e+05
54	4.23349537e+00	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	6.00000000e+00	7.00000000e+00	2.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32907933e+05
55	3.66006944e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	7.00000000e+00	1.00000000e+00	0.00000000e+00	1.73969907e-01	0.00000000e+00	7.32906983e+05	7.32906983e+05
56	4.96909722e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	7.00000000e+00	2.00000000e+00	1.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32907351e+05
57	5.54398148e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	7.00000000e+00	3.00000000e+00	1.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32907351e+05
58	4.53460648e-01	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	7.00000000e+00	6.00000000e+00	2.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32907907e+05
59	5.21365741e-01	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	7.00000000e+00	5.00000000e+00	2.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32907849e+05
60	5.38715278e-01	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	7.00000000e+00	7.00000000e+00	2.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32907907e+05
61	2.58400463e+00	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	7.00000000e+00	4.00000000e+00	2.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32907849e+05
62	1.35824074e+00	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	8.00000000e+00	1.00000000e+00	0.00000000e+00	1.73969907e-01	0.00000000e+00	7.32906983e+05	7.32906983e+05
63	5.68252315e-01	0.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	8.00000000e+00	2.00000000e+00	1.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32907778e+05
64	1.01260417e+00	2.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	9.00000000e+00	1.00000000e+00	0.00000000e+00	       NaN	0.00000000e+00	7.32906957e+05	7.32906957e+05
65	3.20173611e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.00000000e+01	1.00000000e+00	0.00000000e+00	1.73969907e-01	0.00000000e+00	7.32906983e+05	7.32906983e+05
66	9.51076389e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.00000000e+01	2.00000000e+00	1.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32907298e+05
